epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,925.934,2.11584,4.02947,1.85981,0.00315,0.33333,0.02587,0.01347,2.26438,8.52005,1.8203,0.000465978,0.000465978,0.000465978
2,1782.72,1.77426,2.81118,1.59705,0.00168,0.41667,0.00355,0.00115,2.204,13.4749,2.41254,0.000923654,0.000923654,0.000923654
3,2932.44,1.76999,2.44702,1.55607,0.07208,0.08333,0.01609,0.00891,2.19643,9.1245,2.17866,0.00136247,0.00136247,0.00136247
4,5016.54,1.65725,2.12995,1.47933,0.05409,0.08333,0.01453,0.01043,2.12063,14.4961,2.06424,0.00134412,0.00134412,0.00134412
5,5862.8,1.64359,1.98566,1.5046,0.05814,0.33333,0.03628,0.01374,2.67297,7.54498,2.47741,0.00131582,0.00131582,0.00131582
6,6506.43,1.62113,1.86607,1.48847,0.03776,0.16667,0.02533,0.01029,1.83084,9.39508,1.77678,0.00128753,0.00128753,0.00128753
7,7246.33,1.54679,1.71839,1.41315,0.36592,0.08333,0.11124,0.08095,1.92617,10.4392,1.91916,0.00125923,0.00125923,0.00125923
8,7894.79,1.52633,1.66214,1.3999,0.09638,0.16667,0.05644,0.03243,1.93073,4.73442,1.92991,0.00123094,0.00123094,0.00123094
9,64755.7,1.53457,1.58319,1.4281,0.08912,0.25,0.06445,0.04017,1.74479,4.01423,1.74435,0.00120265,0.00120265,0.00120265
10,78494.8,1.49178,1.46295,1.37519,0.10142,0.25,0.06392,0.04134,1.61127,4.22682,1.67229,0.00117435,0.00117435,0.00117435
